time,accel,temperature,pressure
15650,9.833663940429688,38.6875,101989.0
15700,9.82535171508789,38.75,102025.0
15750,9.84514331817627,38.6875,102023.0
15800,9.83128547668457,38.625,101982.5
15850,9.816375732421875,38.875,102020.25
15900,9.81398868560791,38.75,102022.75
15950,9.804339408874512,38.75,102061.0
16000,9.830838203430176,38.8125,102007.0
16050,9.836298942565918,38.75,102053.75
16100,9.853342056274414,38.8125,102007.5
16150,9.843355178833008,38.625,102045.0
16200,9.830833435058594,38.8125,102012.5
16250,9.8353853225708,38.8125,102038.25
16300,9.804807662963867,38.6875,102040.25
16350,9.810978889465332,38.75,102005.5
16400,9.848892211914062,38.6875,102010.5
16450,9.82773494720459,38.6875,102019.25
16500,9.840828895568848,38.75,102030.0
16550,9.85628890991211,38.8125,102020.5
16600,9.843639373779297,38.75,102010.75
16650,9.831622123718262,38.6875,102030.0
16700,9.806434631347656,38.75,101988.75
16750,9.814227104187012,38.75,102021.0
16800,9.818599700927734,38.75,101995.5
16850,9.838704109191895,38.8125,102019.5
16900,9.844980239868164,38.75,102036.0
16950,9.833763122558594,38.8125,102010.25
17000,9.8573637008667,38.6875,102018.25
17050,9.85662841796875,38.6875,102006.75
17100,9.80211353302002,38.8125,102048.25
17150,9.832209587097168,38.75,102044.0
17200,9.823497772216797,38.75,102028.5
17250,9.864617347717285,38.625,102021.75
17300,9.861130714416504,38.75,102064.75
17350,9.825155258178711,38.6875,102016.0
17400,9.834802627563477,38.8125,102001.75
17450,9.851346015930176,38.75,102046.0
17500,9.834826469421387,38.8125,102033.75
17550,9.822713851928711,38.6875,102021.25
17600,9.820653915405273,38.625,101994.25
17650,9.858749389648438,38.6875,102024.25
17700,9.858386039733887,38.6875,101986.5
17750,9.857697486877441,38.8125,102022.75
17800,9.815423011779785,38.6875,102032.0
17850,9.812942504882812,38.75,102059.0
17900,9.818286895751953,38.75,101994.0
17950,9.82865047454834,38.75,102034.25
18000,9.847557067871094,38.75,102053.5
18050,9.850814819335938,38.6875,102031.0
18100,9.837898254394531,38.625,102027.75
18150,9.849809646606445,38.6875,102017.0
18200,9.830180168151855,38.6875,102044.25
18250,9.821537017822266,38.8125,102015.75
18300,9.829116821289062,38.75,102009.75
18350,9.80430793762207,38.6875,102003.75
18400,9.8136568069458,38.8125,102013.25
18450,9.834844589233398,38.75,101996.0
18500,9.826013565063477,38.875,102043.0
18550,9.833971977233887,38.8125,102037.75
18600,9.809366226196289,38.625,102048.5
18650,9.844025611877441,38.8125,102010.5
18700,9.841365814208984,38.8125,102060.5
18750,9.821606636047363,38.75,102039.5
18800,9.821961402893066,38.75,102017.5
18850,9.831537246704102,38.8125,102073.25
18900,9.826391220092773,38.75,102031.25
18950,9.84500789642334,38.9375,102011.75
19000,9.830865859985352,38.75,102004.25
19050,9.819145202636719,38.75,102022.5
19100,9.825048446655273,38.8125,102016.75
19150,9.842670440673828,38.8125,102046.25
19200,9.852189064025879,38.625,102035.5
19250,9.847347259521484,38.6875,102004.5
19300,9.857669830322266,38.8125,102033.0
19350,9.814624786376953,38.6875,102033.25
19400,9.841719627380371,38.8125,102042.0
19450,9.811666488647461,38.75,102040.0
19500,9.815857887268066,38.75,102024.0
19550,9.803709030151367,38.6875,102030.75
19600,9.862479209899902,38.8125,102022.75
19650,9.867463111877441,38.6875,101996.5
19700,9.868452072143555,38.75,102062.5
19750,9.863761901855469,38.8125,102005.75
19800,9.799811363220215,38.75,102015.75
19850,9.843531608581543,38.8125,102026.0
19900,9.820971488952637,38.75,102017.5
19950,9.821364402770996,38.8125,101988.25
20000,9.806192398071289,38.75,102011.75
20050,9.831174850463867,38.75,101998.25
20100,9.850401878356934,38.75,102028.25
20150,9.860973358154297,38.8125,102002.0
20200,9.857111930847168,38.8125,102015.0
20250,9.824469566345215,38.75,102030.0
20300,9.802038192749023,38.8125,102019.5
20350,9.797390937805176,38.8125,102029.25
20400,9.80657958984375,38.625,102004.0
20450,9.8433837890625,38.8125,102050.25
